distance_cm,snr,confidence,kurtosis,skewness,rms,zero_crossing_rate,peak_to_peak,pulse_width_us,rise_time_us,fall_time_us,echo_area,crest_factor,spectral_centroid,spectral_crest,psd_energy,spectral_entropy,dominant_freq_hz,target_strength_dB,echo_noise_ratio,label,target_distance_cm
20.2,11.77,1.0,-0.7281,0.6535,5217.96,0.2353,7815.73,188.87,44.44,99.99,83738.4,1.784,5284.9,8.487,353766112.0,0.7579,1054.8,21.42,11.77,wall,20
20.2,11.93,1.0,-0.7391,0.6386,5260.92,0.2353,7959.65,188.87,44.44,99.99,84219.2,1.791,5200.2,8.451,359895040.0,0.7554,1054.8,21.53,11.93,wall,20
20.2,12.52,1.0,-0.713,0.6381,5440.03,0.2353,8440.71,188.87,44.44,99.99,86430.6,1.818,5300.0,8.327,387557152.0,0.7584,1054.8,21.95,12.52,wall,20
20.2,11.88,1.0,-0.7267,0.6582,5222.4,0.2353,7948.22,188.87,44.44,99.99,83504.1,1.799,5284.6,8.389,353954144.0,0.7581,1054.8,21.5,11.88,wall,20
20.2,12.06,1.0,-0.7347,0.6464,5282.58,0.2353,8094.08,188.87,44.44,99.99,84210.4,1.804,5222.5,8.34,363014112.0,0.7562,1054.8,21.63,12.06,wall,20
20.2,12.69,1.0,-0.7232,0.6306,5505.93,0.2353,8619.58,188.87,44.44,99.99,87266.5,1.821,5384.7,8.234,398315616.0,0.7616,1054.8,22.07,12.69,wall,20
20.2,12.07,1.0,-0.7222,0.6555,5291.23,0.2353,8059.51,188.87,44.44,99.99,84480.4,1.802,5338.1,8.355,364849664.0,0.7599,1054.8,21.64,12.07,wall,20
20.2,11.9,1.0,-0.7364,0.6466,5239.43,0.2353,7977.16,188.87,44.44,99.99,83779.2,1.796,5212.6,8.349,355823904.0,0.7561,1406.4,21.51,11.9,wall,20
20.2,12.45,1.0,-0.7186,0.6452,5427.1,0.2353,8341.43,188.87,44.44,99.99,86312.0,1.815,5337.7,8.233,384821184.0,0.7603,1054.8,21.9,12.45,wall,20
20.2,11.9,1.0,-0.6928,0.646,5303.29,0.2353,7815.23,188.87,55.55,99.99,85391.1,1.775,5091.1,8.699,366403424.0,0.751,1054.8,21.51,11.9,wall,20
20.2,11.4,1.0,-0.7086,0.665,5135.72,0.1176,7354.51,188.87,55.55,99.99,83122.0,1.756,4962.2,8.824,341115328.0,0.7458,1054.8,21.14,11.4,wall,20
20.2,12.13,1.0,-0.6961,0.6422,5386.34,0.2353,8067.99,188.87,55.55,99.99,86444.4,1.782,5143.4,8.633,379186208.0,0.7525,1054.8,21.68,12.13,wall,20
20.2,11.74,1.0,-0.6641,0.681,5264.51,0.2353,7613.81,188.87,55.55,99.99,84827.3,1.764,5082.1,8.787,361581472.0,0.7494,1054.8,21.39,11.74,wall,20
20.2,11.5,1.0,-0.6832,0.6801,5155.18,0.1176,7466.0,188.87,55.55,99.99,83300.0,1.766,4992.1,8.778,344396224.0,0.7464,1054.8,21.22,11.5,wall,20
20.2,12.23,1.0,-0.6783,0.6555,5405.51,0.2353,8140.86,188.87,55.55,99.99,86574.8,1.792,5177.3,8.583,382585280.0,0.7534,1054.8,21.75,12.23,wall,20
20.2,11.83,1.0,-0.6486,0.6916,5286.05,0.2353,7686.62,188.87,55.55,99.99,85010.9,1.771,5111.6,8.745,365246304.0,0.7501,1054.8,21.46,11.83,wall,20
20.2,11.68,1.0,-0.6734,0.6789,5209.11,0.2353,7607.94,188.87,55.55,99.99,83973.5,1.775,5020.4,8.747,352584384.0,0.7473,1054.8,21.35,11.68,wall,20
20.2,12.18,1.0,-0.6756,0.6563,5370.33,0.2353,8100.07,188.87,55.55,99.99,86046.6,1.794,5144.8,8.596,377095712.0,0.7525,1054.8,21.71,12.18,wall,20
20.2,11.63,1.0,-0.6757,0.6898,5163.63,0.2353,7626.16,188.87,55.55,99.99,83247.9,1.781,5155.3,8.678,345681184.0,0.7525,1054.8,21.31,11.63,wall,20
20.2,11.3,1.0,-0.6251,0.6945,4914.62,0.2222,7590.75,199.98,66.66,99.99,82878.3,1.819,5123.4,8.722,327319488.0,0.7509,1406.4,21.06,11.3,wall,20
20.2,11.95,1.0,-0.656,0.7028,5223.29,0.2353,7887.92,188.87,55.55,99.99,83676.0,1.809,5263.5,8.552,354675616.0,0.756,1054.8,21.55,11.95,wall,20
20.2,11.49,1.0,-0.6027,0.7164,4943.27,0.2222,7730.3,199.98,66.66,99.99,83002.4,1.836,5225.5,8.678,332342816.0,0.7544,1054.8,21.21,11.49,wall,20
20.2,11.72,1.0,-0.6806,0.6253,5121.2,0.2222,7986.83,199.98,55.55,99.99,86420.3,1.808,4854.7,8.927,355659424.0,0.7418,1054.8,21.38,11.72,wall,20
20.2,12.02,1.0,-0.706,0.6368,5330.6,0.2353,7868.58,188.87,44.44,111.1,85697.5,1.783,4970.1,8.726,367424576.0,0.7463,1054.8,21.6,12.02,wall,20
20.2,11.82,1.0,-0.6965,0.6595,5230.78,0.2353,7668.85,188.87,44.44,99.99,84249.3,1.787,4969.2,8.818,353777504.0,0.7457,1054.8,21.45,11.82,wall,20
20.2,11.46,1.0,-0.657,0.6725,4974.35,0.2222,7691.4,199.98,55.55,99.99,83860.6,1.822,4928.4,8.903,334711712.0,0.744,1054.8,21.18,11.46,wall,20
20.2,11.41,1.0,-0.6369,0.701,4918.21,0.2222,7549.41,199.98,55.55,111.1,82672.5,1.836,4998.0,8.837,326368128.0,0.7458,1406.4,21.14,11.41,wall,20
20.2,11.08,1.0,-0.638,0.7082,4821.59,0.2222,7219.11,199.98,55.55,99.99,81591.5,1.819,4892.0,9.03,312862816.0,0.7418,1406.4,20.89,11.08,wall,20
20.2,11.14,1.0,-0.6554,0.6861,4840.64,0.2222,7354.26,199.98,55.55,111.1,81678.1,1.818,4907.8,8.893,315028672.0,0.7433,1406.4,20.93,11.14,wall,20
20.2,11.88,1.0,-0.681,0.6752,5204.03,0.2353,7806.65,188.87,44.44,111.1,83404.7,1.802,5108.0,8.598,349980384.0,0.7511,1054.8,21.49,11.88,wall,20
20.2,11.55,1.0,-0.6231,0.7047,4957.24,0.2222,7653.81,199.98,55.55,99.99,83321.9,1.838,5034.7,8.756,332840736.0,0.7478,1406.4,21.25,11.55,wall,20
20.2,11.54,1.0,-0.6435,0.6836,4956.06,0.2222,7728.96,199.98,55.55,111.1,83120.0,1.835,5043.4,8.662,332265216.0,0.7488,1406.4,21.24,11.54,wall,20
20.2,12.21,1.0,-0.6639,0.6815,5278.34,0.2353,8068.38,188.87,44.44,111.1,84181.9,1.822,5195.0,8.478,361906592.0,0.7541,1054.8,21.74,12.21,wall,20
20.2,11.87,1.0,-0.6904,0.6812,5176.63,0.2353,7851.32,188.87,44.44,111.1,82802.4,1.803,5200.7,8.469,346577440.0,0.755,1054.8,21.49,11.87,wall,20
20.2,12.14,1.0,-0.7448,0.6644,5438.33,0.125,7785.29,177.76,44.44,99.99,83038.3,1.751,5192.3,8.429,364001824.0,0.7552,1054.8,21.68,12.14,wall,20
