distance_cm,snr,confidence,kurtosis,skewness,rms,zero_crossing_rate,peak_to_peak,pulse_width_us,rise_time_us,fall_time_us,echo_area,crest_factor,spectral_centroid,spectral_crest,psd_energy,spectral_entropy,dominant_freq_hz,target_strength_dB,echo_noise_ratio,label,target_distance_cm
20.0,15.13,1.0,-0.7569,0.6591,6381.15,0.1333,9332.98,166.65,33.33,99.99,91266.2,1.774,5480.7,8.106,490132416.0,0.765,703.2,23.6,15.13,cardboard,20
20.0,14.63,1.0,-0.7105,0.6419,6042.99,0.25,9596.16,177.76,44.44,99.99,90621.3,1.813,5469.8,8.165,464046080.0,0.7649,703.2,23.31,14.63,cardboard,20
20.0,14.59,1.0,-0.7118,0.6343,6056.87,0.25,9565.84,177.76,44.44,99.99,90940.5,1.805,5454.7,8.167,465539680.0,0.7648,703.2,23.28,14.59,cardboard,20
20.0,15.0,1.0,-0.7601,0.661,6365.63,0.1333,9220.81,166.65,33.33,99.99,91082.6,1.767,5507.5,8.086,486982400.0,0.7663,703.2,23.52,15.0,cardboard,20
20.0,14.48,1.0,-0.7133,0.6505,6014.31,0.25,9456.54,177.76,44.44,99.99,90238.0,1.808,5484.1,8.157,458822080.0,0.7655,1054.8,23.22,14.48,cardboard,20
20.0,14.48,1.0,-0.7165,0.6411,6044.76,0.25,9456.21,177.76,44.44,99.99,90778.0,1.799,5476.3,8.15,463082080.0,0.7656,703.2,23.22,14.48,cardboard,20
20.0,14.94,1.0,-0.7589,0.666,6359.32,0.1333,9216.91,166.65,33.33,99.99,90996.7,1.766,5509.6,8.084,485742464.0,0.7664,703.2,23.48,14.94,cardboard,20
20.0,14.4,1.0,-0.7136,0.6534,6001.36,0.25,9415.78,177.76,44.44,99.99,90091.9,1.807,5474.6,8.165,456478560.0,0.7653,1054.8,23.17,14.4,cardboard,20
20.0,14.33,1.0,-0.7198,0.6439,5999.88,0.25,9353.68,177.76,44.44,99.99,90201.4,1.799,5447.7,8.158,455553472.0,0.7646,1054.8,23.12,14.33,cardboard,20
20.0,14.82,1.0,-0.7588,0.6683,6322.44,0.1333,9135.02,166.65,33.33,99.99,90523.2,1.769,5488.7,8.097,479882208.0,0.7655,1054.8,23.42,14.82,cardboard,20
20.0,14.36,1.0,-0.7135,0.65,5987.61,0.25,9440.56,177.76,44.44,99.99,89906.4,1.81,5460.2,8.173,454545728.0,0.7649,1054.8,23.14,14.36,cardboard,20
20.0,14.39,1.0,-0.718,0.6348,6024.67,0.25,9482.21,177.76,44.44,99.99,90513.6,1.803,5438.4,8.156,460047232.0,0.7643,703.2,23.16,14.39,cardboard,20
20.0,14.87,1.0,-0.7594,0.6644,6346.03,0.1333,9170.21,166.65,33.33,99.99,90840.9,1.77,5488.9,8.094,483911200.0,0.7656,703.2,23.45,14.87,cardboard,20
20.0,14.43,1.0,-0.7134,0.645,6024.95,0.25,9506.98,177.76,44.44,99.99,90428.1,1.809,5480.5,8.16,460739136.0,0.7655,1054.8,23.18,14.43,cardboard,20
20.0,14.43,1.0,-0.7189,0.6337,6049.34,0.25,9511.32,177.76,44.44,99.99,90854.6,1.802,5456.0,8.147,464021696.0,0.7649,703.2,23.19,14.43,cardboard,20
20.0,14.89,1.0,-0.7584,0.6658,6357.48,0.1333,9189.07,166.65,33.33,99.99,91036.9,1.769,5485.6,8.111,485773472.0,0.7655,703.2,23.46,14.89,cardboard,20
20.0,14.42,1.0,-0.713,0.6466,6024.82,0.25,9493.47,177.76,44.44,99.99,90451.3,1.809,5472.3,8.155,460375008.0,0.7653,1054.8,23.18,14.42,cardboard,20
20.0,14.44,1.0,-0.7184,0.633,6053.77,0.25,9519.39,177.76,44.44,99.99,90928.5,1.802,5455.6,8.154,464659136.0,0.7649,703.2,23.19,14.44,cardboard,20
20.0,14.93,1.0,-0.7571,0.6618,6375.45,0.1333,9218.84,166.65,33.33,99.99,91256.4,1.77,5494.4,8.099,488753888.0,0.7657,703.2,23.48,14.93,cardboard,20
20.0,14.45,1.0,-0.7112,0.6435,6030.05,0.25,9544.75,177.76,44.44,99.99,90488.1,1.811,5473.3,8.159,461669664.0,0.7652,703.2,23.2,14.45,cardboard,20
20.0,14.52,1.0,-0.7144,0.6324,6079.63,0.25,9597.67,177.76,44.44,99.99,91274.0,1.804,5460.2,8.157,469145760.0,0.7652,703.2,23.24,14.52,cardboard,20
20.0,14.91,1.0,-0.7563,0.6658,6365.92,0.1333,9200.05,166.65,33.33,99.99,91142.2,1.77,5492.4,8.107,487166592.0,0.7658,703.2,23.47,14.91,cardboard,20
20.0,14.41,1.0,-0.7101,0.6532,6007.62,0.25,9460.53,177.76,44.44,99.99,90197.8,1.811,5461.7,8.168,457728096.0,0.7649,703.2,23.17,14.41,cardboard,20
20.0,14.35,1.0,-0.715,0.6464,6013.17,0.25,9387.21,177.76,44.44,99.99,90428.1,1.801,5435.9,8.164,457676736.0,0.7642,703.2,23.14,14.35,cardboard,20
20.0,14.87,1.0,-0.7556,0.6712,6339.92,0.1333,9152.29,166.65,33.33,99.99,90775.8,1.771,5482.1,8.108,482874912.0,0.7653,703.2,23.45,14.87,cardboard,20
20.0,14.38,1.0,-0.7076,0.6589,5998.64,0.25,9413.52,177.76,44.44,99.99,90090.1,1.811,5469.0,8.167,456176224.0,0.7649,1054.8,23.16,14.38,cardboard,20
20.0,14.42,1.0,-0.7135,0.6429,6034.33,0.25,9460.2,177.76,44.44,99.99,90663.2,1.804,5448.7,8.162,461490112.0,0.7645,703.2,23.18,14.42,cardboard,20
20.0,14.81,1.0,-0.754,0.6727,6313.15,0.1333,9113.89,166.65,33.33,99.99,90424.7,1.771,5476.9,8.125,478652320.0,0.765,703.2,23.41,14.81,cardboard,20
20.0,14.33,1.0,-0.7065,0.6581,5976.5,0.25,9384.56,177.76,44.44,99.99,89796.4,1.811,5460.3,8.179,452759488.0,0.7647,703.2,23.13,14.33,cardboard,20
20.0,14.36,1.0,-0.7133,0.6443,6012.13,0.25,9409.25,177.76,44.44,99.99,90399.5,1.803,5437.3,8.172,457913120.0,0.7641,703.2,23.14,14.36,cardboard,20
20.0,14.84,1.0,-0.7547,0.6711,6328.37,0.1333,9140.91,166.65,33.33,99.99,90615.0,1.771,5483.1,8.112,481193184.0,0.7652,703.2,23.43,14.84,cardboard,20
20.0,14.4,1.0,-0.7099,0.6499,6005.56,0.25,9486.04,177.76,44.44,99.99,90186.7,1.811,5463.2,8.165,457630688.0,0.7649,703.2,23.17,14.4,cardboard,20
20.0,14.53,1.0,-0.7149,0.6304,6077.55,0.25,9624.23,177.76,44.44,99.99,91245.5,1.806,5442.5,8.168,469019680.0,0.7643,703.2,23.24,14.53,cardboard,20
20.0,14.88,1.0,-0.7561,0.6686,6344.38,0.1333,9183.64,166.65,33.33,99.99,90847.0,1.773,5475.3,8.121,484039136.0,0.765,703.2,23.45,14.88,cardboard,20
20.0,14.4,1.0,-0.7095,0.6482,6003.24,0.25,9516.6,177.76,44.44,99.99,90125.0,1.813,5449.8,8.173,457611296.0,0.7644,703.2,23.17,14.4,cardboard,20
20.0,14.37,1.0,-0.7156,0.636,6016.03,0.25,9496.71,177.76,44.44,99.99,90437.4,1.806,5416.4,8.181,458881696.0,0.7635,703.2,23.15,14.37,cardboard,20
