peak_amplitude,rms,total_energy,zcr,variance,skewness,kurtosis,envelope_peak,envelope_energy,envelope_area,fwhm_samples,fwhm_time,early_late_ratio,decay_slope,spectral_energy,spectral_centroid,spectral_bandwidth,dominant_frequency,spectral_entropy,high_low_ratio,material
34480.008,5300.16,1685501900000.0,0.1532025533758896,28091654.0,-0.18844672,11.717344,53813.96,3371001200000.0,300032900.0,57932,0.6436888888888889,0.9233431,-5.0876205631517e-08,5.056497e+16,28754.651695281416,16055.795119042448,37.49999999999999,9.003893,0.76938236,cardboard
26988.832,4787.048,1374949700000.0,0.0742179036317272,22915820.0,1.0568137,2.416336,38931.06,2749899000000.0,323803870.0,59999,0.6666555555555556,0.9991567,-1.1030374911088491e-07,4.124848e+16,30123.457385047754,15536.698669841824,37.49999999999999,8.572458,0.2753309,wood
24324.395,6453.1436,2498583900000.0,0.0782846380773013,41643052.0,1.3911375,1.0130463,57043.93,4997167000000.0,450449120.0,59999,0.6666555555555556,1.0185578,-2.72462119445918e-07,7.495749e+16,26103.665690617585,16964.923845473153,37.49999999999999,8.605499,0.08761326,suitcase
27900.934,4368.7417,1145154200000.0,0.08906815113585226,19085896.0,1.3539064,5.8208017,32885.5,2290307600000.0,281751200.0,58112,0.6456888888888889,0.9455439,-9.136152272408073e-07,3.4354597e+16,31365.027539544448,14719.50504408118,37.49999999999999,8.575816,0.4951933,paper
