peak_amplitude,rms,total_energy,zcr,variance,skewness,kurtosis,envelope_peak,envelope_energy,envelope_area,fwhm_samples,fwhm_time,early_late_ratio,decay_slope,spectral_energy,spectral_centroid,spectral_bandwidth,dominant_frequency,spectral_entropy,high_low_ratio,material
34480.008,5300.16,1685501900000.0,0.1532025533758896,28091654.0,-0.18844672,11.717344,53813.96,3371001200000.0,300032900.0,57932,0.6436888888888889,0.9233431,-5.0876205631517e-08,5.056497e+16,28754.651695281416,16055.795119042448,37.49999999999999,9.003893,0.76938236,cardboard
34423.656,5030.377,1518281400000.0,0.14880248004133403,25304688.0,0.5496351,10.556425,42599.01,3036563000000.0,296318720.0,57941,0.6437888888888889,1.0805894,-8.532373581921606e-07,4.5548437e+16,31766.596584126113,14509.746552194149,37.49999999999999,8.855689,0.98871464,wood
31596.586,4941.695,1465220900000.0,0.13860231003850065,24420344.0,1.3487192,9.258974,37852.863,2930440700000.0,298946080.0,59749,0.6638777777777778,1.0079741,5.655007997719423e-08,4.395659e+16,32249.879146396404,13864.716416783362,37.49999999999999,8.802183,0.9501325,suitcase
34560.285,5752.27,1985316700000.0,0.12898548309138486,33088548.0,-0.8934191,12.865858,59205.973,3970622800000.0,295027840.0,57678,0.6408666666666667,1.085627,-4.650518752567426e-07,5.9559175e+16,28424.259936846036,15799.42739285304,37.49999999999999,8.920269,0.6251529,paper
