r_cm,v_cms,temp,peak,snr,width_us,conf,area,power_percent,latency_ms,rmse_cm,mae_cm,resolution_mm,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material,timestamp
19.4,0.0,25.0,11376.5,13.21,177.76,1.0,93396.6,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11376.5,13.21,177.76,1.0,93396.6,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11376.5,13.21,177.76,1.0,93396.6,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11473.29,13.33,177.76,1.0,96037.1,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11473.29,13.33,177.76,1.0,96037.1,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11473.29,13.33,177.76,1.0,96037.1,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11473.29,13.33,177.76,1.0,96037.1,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11473.29,13.33,177.76,1.0,96037.1,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11473.29,13.33,177.76,1.0,96037.1,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11149.6,12.95,177.76,1.0,93550.2,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11149.6,12.95,177.76,1.0,93550.2,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11149.6,12.95,177.76,1.0,93550.2,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11149.6,12.95,177.76,1.0,93550.2,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11149.6,12.95,177.76,1.0,93550.2,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11273.77,13.08,177.76,1.0,93057.3,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11273.77,13.08,177.76,1.0,93057.3,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11273.77,13.08,177.76,1.0,93057.3,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11273.77,13.08,177.76,1.0,93057.3,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11273.77,13.08,177.76,1.0,93057.3,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
19.4,0.0,25.0,11273.77,13.08,177.76,1.0,93057.3,19.8,156.0,0.0,0.0,0.0,0.6774226804123711,4851.8226804123715,9.162886597938146,529.5081008100811,3.552713678800501e-15,0.021666000000000088,1265.31281681646,20,Wood,2026-02-08T06:22:43.026308
30.7,0.0,25.0,16544.98,30.35,177.76,1.0,136566.4,19.8,156.0,0.0,0.0,0.0,1.0004397394136808,4441.32328990228,5.6816612377850175,782.2912972547252,7.105427357601002e-15,0.1293027499999998,626.6349909436915,30,Wood,2026-02-08T06:23:00.164477
30.7,0.0,25.0,16544.98,30.35,177.76,1.0,136566.4,19.8,156.0,0.0,0.0,0.0,1.0004397394136808,4441.32328990228,5.6816612377850175,782.2912972547252,7.105427357601002e-15,0.1293027499999998,626.6349909436915,30,Wood,2026-02-08T06:23:00.164477
30.7,0.0,25.0,16544.98,30.35,177.76,1.0,136566.4,19.8,156.0,0.0,0.0,0.0,1.0004397394136808,4441.32328990228,5.6816612377850175,782.2912972547252,7.105427357601002e-15,0.1293027499999998,626.6349909436915,30,Wood,2026-02-08T06:23:00.164477
30.7,0.0,25.0,16544.98,30.35,177.76,1.0,136566.4,19.8,156.0,0.0,0.0,0.0,1.0004397394136808,4441.32328990228,5.6816612377850175,782.2912972547252,7.105427357601002e-15,0.1293027499999998,626.6349909436915,30,Wood,2026-02-08T06:23:00.164477
