r_cm,v_cms,temp,peak,snr,width_us,conf,area,power_percent,latency_ms,rmse_cm,mae_cm,resolution_mm,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material,timestamp
29.9,0.0,25.0,13363.6,30.55,177.76,1.0,113959.6,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13119.87,30.2,188.87,1.0,114099.3,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13119.87,30.2,188.87,1.0,114099.3,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13119.87,30.2,188.87,1.0,114099.3,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13119.87,30.2,188.87,1.0,114099.3,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13119.87,30.2,188.87,1.0,114099.3,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13119.87,30.2,188.87,1.0,114099.3,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13237.34,30.67,188.87,1.0,115679.3,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13237.34,30.67,188.87,1.0,115679.3,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13237.34,30.67,188.87,1.0,115679.3,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13237.34,30.67,188.87,1.0,115679.3,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13237.34,30.67,188.87,1.0,115679.3,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
29.9,0.0,25.0,13398.93,31.23,177.76,1.0,113902.2,19.8,156.0,0.0,0.0,0.0,1.027324414715719,3829.4717391304357,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.16262100000000038,707.0071141615206,30,Cardboard,2026-02-08T05:25:00.917187
