r_cm,snr,area_norm_r,energy_density,width_rel,snr_variance,echo_consistency,material
20.0,16.77,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.84,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.84,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.84,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.84,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.84,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,17.25,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,17.25,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,17.25,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,17.25,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,17.25,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.79,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.79,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.79,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.79,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.79,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.79,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.87,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.87,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
20.0,16.87,5281.619,633.8576657665765,8.332500000000001,0.03532275,987.9202030528544,Cardboard
29.9,30.55,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,30.2,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,30.2,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,30.2,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,30.2,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,30.2,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,30.2,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,30.67,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,30.67,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,30.67,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,30.67,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,30.67,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,31.23,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
29.9,31.23,3829.471739130436,617.5520232170277,6.205250836120401,0.1626210000000003,707.0071141615206,Cardboard
